NAME	GENRE	INDEX	VALUE
[§Þnh thêi] §Þnh Quèc Tö §»ng Hé UyÓn	0	383	
[§Þnh thêi] §Þnh Quèc Ng©n Tµm Yªu §¸i	0	384	
[§Þnh thêi] An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	385	
[§Þnh thêi] An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	386	
[§Þnh thêi] An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	387	
[§Þnh thêi] An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	388	
[Liªn ®Êu] §Þnh Quèc Thanh sa Tr­êng sam	0	389	
[Liªn ®Êu] §Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	390	
[Liªn ®Êu] §Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	391	
[Liªn ®Êu] §Þnh Quèc Tö §»ng Hé UyÓn	0	392	
[Liªn ®Êu] §Þnh Quèc Ng©n Tµm Yªu §¸i	0	393	
[Liªn ®Êu] An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	394	
[Liªn ®Êu] An Bang Cóc hoa Th¹ch chØ hoµn	0	395	
[Liªn ®Êu] An Bang §iÒn Hoµng th¹ch ngäc béi	0	396	
[Liªn ®Êu] An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	397	
§Þnh Quèc Thanh sa Tr­êng sam	0	398	
§Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	399	
§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	400	
§Þnh Quèc Tö §»ng Hé UyÓn	0	401	
§Þnh Quèc Ng©n Tµm Yªu §¸i	0	402	
[Cùc phÈm] §Þnh Quèc Thanh Sa Tr­êng Sam	0	403	
[Cùc phÈm] §Þnh Quèc Thanh Sa Ph¸t Qu¸n	0	404	
[Cùc phÈm] §Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	405	
[Cùc phÈm] §Þnh Quèc Tö §»ng Hé UyÓn	0	406	
[Cùc phÈm] §Þnh Quèc Ng©n Tµm Yªu §¸i	0	407	
[Cùc phÈm] An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	408	
[Cùc phÈm] An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	409	
[Cùc phÈm] An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	410	
[Cùc phÈm] An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	411	
[Cùc phÈm] HiÖn Cèt ThiÕt HuyÕt Sam	0	412	
[Cùc phÈm] HiÖn Cèt §a T×nh Hoµn	0	413	
[Cùc phÈm] HiÖn Cèt §an T©m Giíi	0	414	
[Cùc phÈm] HiÖn Cèt T×nh ý KÕt	0	415	
[Cùc phÈm] Nhu T×nh C©n Quèc Nghª Th­êng	0	416	
[Cùc phÈm] Nhu T×nh Thôc N÷ H¹ng Liªn	0	417	
[Cùc phÈm] Nhu T×nh Phông Nghi Giíi ChØ	0	418	
[Cùc phÈm] Nhu T×nh TuÖ T©m Ngäc Béi	0	419	
[Tinh ChÕ] §éng S¸t B¹ch Kim §iªu Long Giíi	0	420	
[Tinh ChÕ] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi	0	421	
[Tinh ChÕ] §éng S¸t B¹ch Kim Tó Phông Giíi	0	422	
[Tinh ChÕ] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn	0	423	
[Hoµn Mü] Cùc PhÈm An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	424	
[Hoµn Mü] Cùc PhÈm An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	425	
[Hoµn Mü] Cùc PhÈm An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	426	
[Hoµn Mü] Cùc PhÈm An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	427	
Cµn Kh«n Giíi ChØ	0	428	
[§Þnh thêi] ThÕ Tóc Toµn Giíi	0	429	
[Pháng chÕ] Hång ¶nh TrÇm Viªn V·n Tóy	0	430	
[Pháng chÕ] Hång ¶nh KiÕm Qua T©y Ph­¬ng	0	431	
[Pháng chÕ] Hång ¶nh Môc Tóc T­¬ng Vong	0	432	
[Pháng chÕ] Hång ¶nh Hång Tô Chiªu	0	433	
[Hoµn Mü] Hång ¶nh TrÇm Viªn V·n Tóy	0	434	
[Hoµn Mü] Hång ¶nh KiÕm Qua T©y Ph­¬ng	0	435	
[Hoµn Mü] Hång ¶nh Môc Tóc T­¬ng Vong	0	436	
[Hoµn Mü] Hång ¶nh Hång Tô Chiªu	0	437	
ChÊp Tö Chi Thñ	0	438	
D÷ Tö Giai L·o	0	439	
Minh NguyÖt KÕt	0	440	
ThiÒn Quyªn Liªn	0	441	
To¹i Nh©n XÝch HuyÕt Nguyªn Vò Gi¸p	0	442	2000000000
To¹i Nh©n B¸ch LuyÖn Kh«i	0	443	1800000000
To¹i Nh©n ThÊt L­u Quang Yªu KhÊu	0	444	
To¹i Nh©n Trôc Thiªn Ngoa	0	445	1500000000
To¸i Nh©n Kim Lò NhuyÔn Vi Hé UyÓn	0	446	1500000000
To¸i Nh©n §o¹n Th­¬ng	0	447	
To¸i Nh©n Vò L©m Linh	0	448	2200000000
To¹i Nh©n B¸t Nh· Ngäc Ban ChØ	0	449	
To¹i Nh©n Thiªn PhËt Ngäc Ban ChØ	0	450	
To¹i Nh©n HuyÒn Kim L­u Ly Béi	0	451	
Phôc Hi Hçn §én Ngù Linh Y	0	452	
Phôc Hi Thª Hµ M¹o	0	453	
Phôc Hi Ph­¬ng Phi Ngäc Lung Yªu Hoµn	0	454	
Phôc Hi Hoan ¶nh KÞch	0	455	1500000000
Phôc Hi V« L­îng TÞch Tµ Thñ	0	456	1500000000
Phôc Hi To¸i T©m	0	457	1200000000
Phôc Hi Khóc Du Xu©n	0	458	1800000000
Phôc Hi B¸i Tinh Giíi ChØ	0	459	
Phôc Hi Lo¹i NguyÖt Giíi ChØ	0	460	
Phôc Hi Hæ Ph¸ch Hé Phï	0	461	
N÷ Oa BÝch TÞch NhuyÔn Hå CÇu	0	462	
N÷ Oa Hång Nhan Ph¸t §¸i	0	463	1500000000
N÷ Oa Lôc NghÖ Nghª Th­êng Thóc §¸i	0	464	1500000000
N÷ Oa §¹p L·ng L÷	0	465	
N÷ Oa Bå §Ò TÞnh TÈm CÈm UyÓn	0	466	
N÷ Oa Hµn T­¬ng	0	467	2000000000
N÷ Oa NiÖm N« KiÒu	0	468	1800000000
N÷ Oa DËt Th¸i ChØ Hoµn	0	469	
N÷ Oa Tiªu T­¬ng ChØ Hoµn	0	470	
N÷ Oa ¸m H­¬ng Thu Thñy KÕt	0	471	
Chóc Dung LiÖt DiÖm Né Phong Trang	0	472	1800000000
Chóc Dung PhÇn D­¬ng Qu¸n	0	473	
Chóc Dung Thiªn Viªm L­u Yªn CÈm §¸i	0	474	
Chóc Dung TuyÖt TrÇn Ngoa	0	475	
Chóc Dung Kinh ChÝch BÊt DiÖt Tr¶o	0	476	1500000000
Chóc Dung Ph¸ NhËt	0	477	1500000000
Chóc Dung Tóy Th¸i B×nh	0	478	1800000000
Chóc Dung B¸ch LiÖt Ban ChØ	0	479	
Chóc Dung Thiªn §oµn Ban ChØ	0	480	
Chóc Dung Tam Tiªn TrÊn T©y Phï	0	481	
ThÇn N«ng Tiªu D­¬ng §Þa Hoµng Y	0	482	2000000000
ThÇn N«ng Né L«i §Çu Hoµn	0	483	1500000000
ThÇn N«ng MÆc L©n TriÒn Yªu	0	484	
ThÇn N«ng Ngù Phong L÷	0	485	1800000000
ThÇn N«ng Th­¬ng M·ng Cæn Long UyÓn	0	486	
ThÇn N«ng Tr¶m Nh¹c	0	487	1200000000
ThÇn N«ng Thiªn TÞnh Sa	0	488	2200000000
ThÇn N«ng NhiÕp Hån C¸t T­êng Giíi	0	489	
ThÇn N«ng C©u Ph¸ch Nh­ ý Giíi	0	490	
ThÇn N«ng ¢m D­¬ng S¸t T©m KÕt	0	491	
