STT	Tr¶ lêi	C©u Hái		B	C	D
166	A	Con s«ng nµo lín nhÊt Ch©u ¸?	Mª K«ng	Gange	S«ng Hång	D­¬ng tö
167	A	§éi tuyÓn bãng ®¸ nam Brazil v« ®Þch thÕ giíi mÊy lÇn?	5	4	3	6
168	A	N­íc Mü cã bao nhiªu bang?	50	49	48	51
169	A	DTH lµ dÞch vô g×?	TruyÒn h×nh sè vÖ tinh 	TruyÒn h×nh sè	TruyÒn h×nh m¹ng	TruyÒn h×nh c¸p
170	A	¢m thanh kh«ng truyÒn ®i ®­îc trong m«i tr­êng nµo?	Ch©n kh«ng	ChÊt láng	ChÊt khÝ	ChÊt r¾n
171	A	Ng­êi ta th­êng nãi ngang nh­...?	Cua	Ngçng	GhÑ	Heo
172	A	§iÒn vµo c©u sau: "L¬ ng¬ nh­ ... ®éi nãn" ?	Bß	Gµ	KhØ	MÌo
173	A	ë b¾c cùc cã bao nhiu loµi chim c¸nh côt?	0	1	2	3
174	A	Dông cô ®o th©n nhiÖt lµ g×?	NhiÖt kÕ	Ampe KÕ	¸p kÕ	V«n kÕ
175	A	TØnh nµo sau ®©y ë miÒn b¾c n­íc ta?	H¶i D­¬ng	B×nh D­¬ng 	Binh ThuËn	B×nh §Þnh
176	A	B¸o nµo chuyªn vÒ c«ng nghÖ th«ng tin?	Echip	Tuæi trÎ	Hoa häc trß	Mùc tÝm
177	A	"Dictionary" trong tiÕng Anh nghÜa lµ g×?	Tõ ®iÓn	QuyÓn nhËt kÝ	KÝ tù	TËp giÊy tr¾ng
178	A	Quèc gia nµo cã liªn hoan film Cannes?	Ph¸p	§øc	ý	MÜ 
179	A	Website ®æi mËt khÈu cña VNG lµ g×?	id.zing.vn	zing.vn	pay.zing.vn	me.zing.vn
180	A	M«n thÓ thao nµo mµ 6 game sÏ kÕt thóc 1 set?	Tennis	Baseball	Soccer	Basketball
181	A	Quèc gia nµo ®«ng d©n nhÊt thÕ giíi?	Trung Quèc	Ên §é	MÜ 	Nga
182	A	Quèc gia nµo tÆng n­íc MÜ t­îng "N÷ thÇn tù do"?	Ph¸p	Anh	ý	Canada
183	A	Mét bé cê vua cã bao nhiu lo¹i qu©n?	6	5	4	7
184	A	Vµo mïa nµo th× tr¸i ®Êt gÇn mÆt trêi nhÊt?	H¹	Xu©n	Thu	§«ng
185	A	C¸i g× lín nhÊt d­íi ®©y?	Lôc §Þa	§¶o	Ch©u Lôc	VÞnh
186	A	Vßng chung kÕt WorldCup 1994 quèc gia nµo ®¹t h¹ng ba ?	Thôy §iÓn	§øc	T©y Ban Nha	Hµ Lan
187	A	Sea Game 25 sÏ tæ chøc ë quèc gia nµo ?	Lµo	In®«nªsia	Th¸i Lan	Malaysia
188	A	KÕt thóc Sea Game 24 ®oµn ViÖt Nam ®¹t bao nhiªu HCV?	64	62	63	61
189	A	ThÕ vËn héi Olympic 2012 diÔn ra t¹i quèc gia nµo?	Anh	Ph¸p	§øc	T©y Ban Nha
190	A	TrÇn HiÕu Ng©n lµ V§V m«n thÓ thao nµo?	Taekwondo	Karate	Judo	Bãng bµn
191	A	NguyÔn TiÕn Minh lµ V§V m«n thÓ thao nµo?	CÇu l«ng	Bãng bµn	Bida	Bãng ®¸
192	A	Vßng chung kÕt Euro 2004 ®éi nµo ®¹t danh hiÖu v« ®Þch?	Hy L¹p	Bå §µo Nha	ý	T©y Ban Nha
193	A	Lª C«ng Vinh ®¹t bao nhiªu danh hiÖu Qu¶ Bãng Vµng VN?	3	2	4	5
194	A	Vßng chung kÕt Euro 2008 ®éi nµo ®¹t danh hiÖu v« ®Þch?	T©y Ban Nha	Bå §µo Nha	ý	Hy L¹p
195	A	CLB bãng ®¸ nµo ®¹t danh hiÖu v« ®Þch cup C1 Ch©u ¢u nhiÒu nhÊt?	Real Madrid	Liverpool	AC Milan	Bayer Munich
196	A	CÇu Mü ThuËn ®­îc b¾c qua con s«ng nµo cña ViÖt Nam?	S«ng TiÒn	S«ng HËu	S«ng §µ	S«ng H­¬ng
197	A	§éi tuyÓn bãng ®¸ nam Th¸i Lan bao nhiªu lÇn v« ®Þch c¸c kú Sea Game?	8	7	9	10
198	A	Thñ ®« Cana®a tªn g×?	Ottawa	Toronto	Habana	Madrid
199	A	Ai ®¹t danh hiÖu qu¶ bãng vµng ViÖt Nam n¨m 2009?	D­¬ng Hång S¬n	Vò Nh­ Thµnh	Lª C«ng Vinh	Phan V¨n Tµi Em
200	A	GiÕng n­íc lín nhÊt ViÖt Nam n»m ë ®©u?	Ninh B×nh	Hµ Néi	B×nh D­¬ng	Hµ T©y
201	A	Tªn cña anh hïng NguyÔn HuÖ lóc nhá lµ?	Hå Th¬m	Kh¾c Nhi	TiÓu Minh	Du Thiªn
202	A	§êi vua nµo cã chøc L¹c HÇu?	Hïng V­¬ng	An D­¬ng V­¬ng	§inh Bé LÜnh	Lý Nam §Õ
203	A	TruyÒn thuyÕt vÒ Tø BÊt Tö cña ViÖt Nam gåm: T¶n Viªn (S¬n Tinh - Thñy Tinh), Chö §ång Tö, LiÔu H¹nh. Ng­êi cßn l¹i lµ ai?	Th¸nh Giãng	Tr¹ng VËt	Sä Dõa	Tr¹ng Quúnh
204	A	V¹n Th¾ng V­¬ng lµ biÖt hiÖu cña vÞ t­íng qu©n nµo ?	§inh Bé LÜnh	TrÇn L·m	Ng« QuyÒn	D­¬ng §×nh NghÖ
205	A	Nhµ §inh ®óc tiÒn lÇn ®Çu tiªn trong lÞch sö n­íc ViÖt, ®ång tiÒn ®ã mang tªn g× ?	Th¸i B×nh H­ng B¶o	ThiÖu Phong Th«ng B¶o	VÜnh ThÞnh Th«ng B¶o	Thiªn Phóc TrÊn B¶o
206	A	B¸nh Kho¸i lµ ®Æc s¶n cña miÒn nµo?	MiÒn B¾c	MiÒn Trung	C¶ ba miÒn	MiÒn Nam
207	A	Giß Heo Gi¶ CÇy th­êng ®­îc ng­êi miÒn nµo ­a chuéng?	MiÒn Nam	MiÒn Trung	MiÒn B¾c	C¶ ba miÒn
208	A	Bón Su«ng, mét mãn ¨n ®Æc s¾c cã t«m gi· nhuyÔn, thÞt cua cã xuÊt xø tõ miÒn nµo?	MiÒn Nam	MiÒn B¾c	MiÒn Trung	C¶ ba miÒn
209	A	Cµ ph¸o, m¾m t«m th­êng ®­îc ng­êi d©n miÒn nµo ­a chuéng?	MiÒn B¾c	MiÒn Trung	MiÒn Nam	C¶ ba miÒn
210	A	Trong c¸c mãn ¨n d©n d·, Gái Søa lµ mãn ¨n "®éc ®¸o" ®Ó thiÕt ®·i b»ng h÷u cña ng­êi d©n n¬i nµo sau ®©y?	Tuy Hßa	Vòng Tµu	Mòi NÐ	Phan ThiÕt
211	A	 Ba KhÝa, mét ®Æc s¶n cña vïng BiÓn miÒn Nam, næi tiÕng nhÊt lµ ë ®©u?	R¹ch Gèc 	CÇn Th¬	Long An	TiÒn Giang
212	A	Ch¶ R­¬i cã nguån gèc xuÊt xø tõ miÒn nµo?	MiÒn B¾c	MiÒn Trung	MiÒn Nam	C¶ ba miÒn
213	A	Bón Thang lµ ®Æc s¶n cña n¬i nµo?	Hµ Néi	Phan ThiÕt	CÇn Th¬	HuÕ
214	A	C¬m hÕn lµ ®Æc s¶n cña n¬i nµo?	HuÕ	Qu¶ng Ninh 	H¶i Phßng	Hµ Néi
215	A	Bón mùc V¹n Ninh lµ ®Æc s¶n n¬i nµo?	Nha Trang	H¶i Phßng	HuÕ	Hµ Néi
216	A	Mãn M× Qu¶ng lµ ®Æc s¶n cña n¬i nµo?	Qu¶ng Nam	Hµ Néi	Qu¶ng Ninh 	Tuy Hßa
217	A	B¸nh tæ lµ mét trong bèn lo¹i b¸nh truyÒn thèng cña ng­êi d©n n¬i nµo?	Qu¶ng Nam	Tuy Hßa	Hµ Néi	Qu¶ng Ninh 
218	A	Bón Bß lµ ®Æc s¶n cña miÒn nµo?	MiÒn Trung	MiÒn Nam	MiÒn B¾c	C¶ ba miÒn
219	A	Chî næi lµ ®Æc tr­ng cña n¬i nµo?	MiÒn Nam	MiÒn Trung	MiÒn B¾c	C¶ ba miÒn
220	A	Hµng n¨m nh»m vµo th¸ng 3 kh¸ch thËp ph­¬ng vÒ Nam §Þnh ®Ó tham dù lÔ héi nµo?	Phñ DÇy	§Òn Hïng	Nghinh ¤ng	Giç tæ
221	A	ë Cao B»ng, h»ng n¨m vµo ngµy 22 th¸ng 3 cã lÔ héi vÒ MÑ Tr¨ng vµ m­êi hai nµng tiªn - con cña MÑ Tr¨ng. §ã lµ lÔ héi g×? 	Nµng Hai	Nghinh ¤ng	§Òn Hïng	Giç tæ
222	A	H¶i Th­îng L·n ¤ng lµ tªn hiÖu cña bËc danh nh©n nµo?	Lª H÷u Tr¸c	Lª Quý §«n	Lª V¨n H­u	NguyÔn KhuyÕn
223	A	Hä em cïng víi hä ng­êi, Tªn em cïng loµi ë chèn bïn s©u. Lµ vËt g×?	§inh èc	§inh	èc	èc ®inh
224	A	Bèn bªn bèn bøc t­êng cao, LÝnh ®¸nh µo µo, t­íng vÉn n»m yªn. Lµ vËt dông g×?	C¸i mïng	C¸i ch¨n	C¸i gèi	C¸i gi­êng
225	A	Mßn l­ng kÎ x¸t ng­êi chµ, C¸nh ®©u mµ b¶o ta bay lªn trêi? Lµ c¸i g×?	C¸i bay	C¸i xÎng	C¸i cuèc	C¸i bóa
226	A	Kh«ng tay kh«ng ch©n kh«ng m¾t kh«ng mòi, MiÖng ­ít rÇn rÇn, bß ®i lñi nhñi. Lµ con g×?	Con giun	Con mÌo	Con chim	Con c¸
227	A	Võa b»ng h¹t l¹c, trong n¹c ngoµi x­¬ng. Lµ con g×?	Con èc	Con mÌo	Con c¸	Con giun
228	A	N¨m «ng cÇm hai c©y sµo, Lïa ®µn tr©u tr¾ng th¼ng vµo trong hang. Dïng ®Ó chØ viÖc g×?	¡n c¬m	Uèng n­íc	¡n canh	¡n chay
229	A	B»ng mét b­íc mµ b­íc kh«ng qua. Lµ c¸i g×?	C¸i bãng	C¸i b¶ng	C¸i bµn	C¸i s¶i tay
230	A	Con cua t¸m c¼ng 2 cµng, Bß qua bß l¹i hái bß mÊy ch©n?	4 ch©n	2 ch©n	6 ch©n	8 ch©n
231	A	B¾c thang lªn h¸t ph­êng chÌo, Hái thang mét nÊc mµ leo nçi g×? Lµ ch÷ g×?	Ch÷ H	Ch÷ A	Ch÷ D	Ch÷ P
232	A	X©y thµnh ®¾p luü trªn non, H¸i hoa nuèt nhuþ nu«i con th¸ng ngµy? Lµ con g×?	Con ong	Con b­ím	Con gµ	Con cuèc
233	A	Måm bß nh­ng kh«ng ph¶i måm bß mµ lµ måm bß. Lµ con g×?	Con èc sªn	Con kiÕn	Con rïa	Con ngan
234	A	Trong lÔ héi ®ua thuyÒn truyÒn thèng n­íc ta, lo¹i thuyÒn nµo th­êng ®­îc nh©n d©n sö dông?	ThuyÒn rång	Ghe ngo	ThuyÒn thóng	Ghe bÇu
235	A	Tôc mõng nhµ míi ë ViÖt Nam gäi lµ g×?	T©n gia	T©n niªn gia	T©n kú	T©n quý
236	A	ë c¸c gia ®×nh cã cha mÑ giµ ®Õn b¶y t¸m m­¬i tuæi, nhµ phóc léc dåi dµo, ®«ng con c¸i, th× lµm lÔ mõng thä cha mÑ. LÔ ®ã gäi lµ g×?	Th­îng thä	Mõng thä	§¹i thä	Mõng tuæi
237	A	Dï ai ®i ng­îc vÒ xu«i, Nhí ngµy giç tæ mïng m­êi th¸ng ba. 2 c©u th¬ ®ã nãi vÒ ngµy héi g× ë n­íc ta.?	Giç tæ Hïng V­¬ng	Giç tæ	Giç tæ tiªn	Giç «ng bµ
238	A	Lµng gèm B¸t Trµng, lµng gèm næi tiÕng cña n­íc ta thuéc huyÖn nµo cña Hµ Néi?	Gia L©m	Tõ Liªm	§«ng Anh	Thanh Tr×
239	A	C¬m lam lµ mãn Èm thùc ®Æc s¾c cña c¸c d©n téc n¬i nµo ë n­íc ta?	T©y B¾c Bé	§«ng B¾c Bé	T©y Nam Bé	§«ng Nam Bé
240	A	N÷ sinh §ång Kh¸nh xø HuÕ næi tiÕng bëi tµ ¸o dµi th­ít tha cã mµu s¾c?	TÝm	Hång	Lam	Tr¾ng
241	A	Trong tµ ¸o dµi truyÒn thèng cña phô n÷ ViÖt Nam, hµng nót ®­îc kÕt t¹i ®©u?	Bªn ph¶i tõ cæ xuèng eo	Bªn tr¸i tõ cæ xuèng eo	Sau l­ng	Kh«ng cÇn cµi nót
242	A	Nhµ sö häc ®Çu tiªn cña ViÖt Nam lµ?	Lª V¨n H­u	NguyÔn HiÒn	Phan Phu Tiªn	Ng« SÜ Liªn
243	A	Cuèn "§¹i ViÖt Sö Ký Toµn Th­" do ai so¹n th¶o?	Ng« SÜ Liªn	Phan Phu Tiªn	Lª V¨n H­u	Ph¹m C«ng Trø
244	A	Thêi nhµ TrÇn, ai ®­îc phong tÆng lµ "L­ìng Quèc Tr¹ng Nguyªn" ?	M¹c §Ünh Chi	NguyÔn Trùc	NguyÔn §¨ng §¹o	Phïng Kh¾c Khoan
245	A	Tr¹ng nguyªn trÎ nhÊt trong lÞch sö ViÖt Nam lµ ai?	NguyÔn HiÒn	L­¬ng ThÕ Vinh	M¹c §Ünh Chi	NguyÔn Trùc
246	A	Ai ®­îc d©n gian phong tÆng danh hiÖu Tr¹ng L­êng ?	L­¬ng ThÕ Vinh	Phïng Kh¾c Khoan	NguyÔn HiÒn	M¹c §Ønh Chi
247	A	Ai ®­îc d©n gian phong tÆng danh hiÖu Tr¹ng Bïng ?	Phïng Kh¾c Khoan	NguyÔn HiÒn	L­¬ng ThÕ Vinh	M¹c §Ønh Chi
248	A	Ai l·nh ®¹o nghÜa qu©n Lam S¬n khëi nghÜa dµnh th¾ng lîi?	Lª Lîi	TrÇn C¶nh	Lª Hoµn	TrÇn H­ng §¹o
249	A	Ai th¶o ¸ng v¨n bÊt hñ "B×nh Ng« §¹i C¸o"?	NguyÔn Tr·i	Lª V¨n H­u	TrÇn Th¸nh T«ng	NguyÔn HiÒn
250	A	B¹ch V©n C­ SÜ lµ tªn hiÖu cña nhµ th¬ nµo?	NguyÔn BØnh Khiªm	NguyÔn Tr·i	Lª Th¸nh T«ng	NguyÔn Du
251	A	L¸ cê thªu 6 ch÷ vµng "Ph¸ C­êng §Þch, B¸o Hoµng ¢n" g¾n víi tªn tuæi cña vÞ anh hïng thiÕu niªn nµo?	TrÇn Quèc To¶n	NguyÔn Trung Trùc	TrÇn Quèc TuÊn	M¹c §Ünh Chi
252	A	TiÒn giÊy ®Çu tiªn ®­îc söu dông g¾n víi triÒu ®¹i cña vÞ vua nµo?	Hå Quý Ly	TrÇn Th¸nh T«ng	Lª Th¸nh T«ng	Lª Lîi
253	A	VÞ tæ nghÒ in cña n­íc ta lµ?	L­¬ng Nh÷ Häc	NguyÔn XÝ	Ng« SÜ Liªn	NguyÔn ChÝch
254	A	Nh©n vËt kiÖt xuÊt cña thÕ kû XV ®­îc UNESCO phong lµ danh nh©n v¨n hãa thÕ giíi?	NguyÔn Tr·i	NguyÔn Du	Hå Xu©n H­¬ng	NguyÔn §×nh ChiÓu
255	A	Thµ r»ng ¨n nöa qu¶ hång, Cßn h¬n ¨n c¶ chïm ...ch¸t lÌ.	Sung	SÊu	Cãc	Xoµi
256	A	Nãi chÝn th× nªn lµm m­êi, Nãi m­êi lµm ... kÎ c­êi ng­êi chª.	ChÝn	T¸m	Mét	N¨m
257	A	ThÕ gian ch¼ng Ýt th× nhiÒu, Kh«ng ... ai dÔ ®Æt ®iÒu cho ai .	D­ng	Th×	LÏ 	T­
258	A	Th¸ng ... heo m©y, Chuån chuån bay th× b·o.	B¶y	chÝn	M­êi	T¸m
259	A	Bao giê cho ®Õn th¸ng ... , Hoa g¹o rông xuèng, bµ giµ cÊt ch¨n .	Ba	N¨m	Hai	T­
260	A	ë ®êi mu«n sù cöa trïng, H¬n nhau hai tiÕng anh ... mµ th«i.	Hïng	KiÖt 	TuÊn	Tµi 
261	A	N­íc gi÷a dßng chª trong, chª ®ôc, Vòng ...®Çm h× hôc khen ngon	Tr©u	Voi	Chã 	N­íc
262	A	C¸i bèng ®i chî cÇu Canh, C¸i t«m ®i tr­íc, cñ ... ®i sau. Con cua lËt ®Ët theo hÇu, C¸i chµy r¬i xuèng vì ®Çu con cua.	Hµnh	N¨ng	Tái	S¾n
263	A	Nùc c­êi ch©u chÊu ®¸ ..., T­ëng r»ng chÊu n¸t, ai dÌ ... nghiªng.	Xe	Lon	Nhau	Voi
264	A	Trªn trêi cã ®¸m m©y xanh, ë gi÷a m©y tr¾ng chung quanh m©y vµng. ¦íc g× anh lÊy ®­îc nµng, Th× anh mua g¹ch ... vÒ x©y.	B¸t Trµng	§ång T©m	VÜnh Long	Long An
265	A	Rñ nhau xuèng bÓ mß cua, §em vÒ nÊu qu¶ ... chua trªn rõng.	M¬	Chanh	ít	Me
266	A	TrÌo lªn c©y b­ëi h¸i hoa, B­íc xuèng v­ên cµ h¸i ... tÇm xu©n.	Nô	Nhµnh	L¸	Nhuþ
267	A	§­êng v« xø ... quanh quanh, Non xanh n­íc biÕc nh­ tranh häa ®å.	NghÖ	HuÕ	B¾c	Nam
268	A	... ¬i th­¬ng lÊy bÝ cïng, Tuy r»ng kh¸c gièng nh­ng chung mét giµn.	BÇu	Võng	BÝ	M¨ng
269	A	Kh«n cho ng­êi b¸i, D¹i cho ng­êi th­¬ng. Dë dë ... ..., Tæ cho ng­êi ghÐt.	­¬ng ­¬ng	ung ung	thiu thiu	chi chi
270	A	§ªm khuya thiÕp míi hái chµng:  ... xanh ¨n víi trÇu vµng xøng ch¨ng? 	Cau	C©y	TrÇu	L¸
271	A	Chim ... ¨n tr¸i nh·n lång, Thia thia quen chËu, vî chång quen h¬i.	Quyªn	ChÝch choÌ	SÏ	S¸o
272	A	Vî chång lµ nghÜa tao khang, Xuèng khe b¾t èc lªn ngµn h¸i ... 	Rau	M¨ng	Thuèc	Hoa
273	A	Lªnh ®ªnh mét chiÕc thuyÒn t×nh, M­êi ... bÕn n­íc biÕt göi m×nh vµo ®©u ? 	Hai	Mét	L¨m	Ba
274	A	Con g× ë c¹nh bê ao? ChÆt ®u«i chÆt ®Çu bay vót lªn cao. Lµ con g×?	Con Cãc	Con C¸	Con B­ím	Con Chuån chuån
275	A	Hai c« n»m nghØ hai phßng, Ngµy th× më cöa ra tr«ng, §ªm th× ®ãng cöa lÊp trong ra ngoµi. Lµ bé phËn nµo trªn c¬ thÓ?	§«i m¾t	Mòi	Tai	Tay
276	A	Trªn hang ®¸, d­íi hang ®¸, Gi÷a cã con c¸ thên b¬n. Lµ bé phËn nµo trªn c¬ thÓ?	MiÖng	M¾t	Mòi	Tai
277	A	Trßn trßn nh­ lµ c¸i t«, Vôc miÖng vµo hå ®Çu ­ít ®u«i kh«.Lµ c¸i g×?	C¸i g¸o dõa	ChiÕc l¸	C©y cñi	Thanh tre
278	A	Ch©n em ®o ®á, m×nh em vµng vµng, Kh¾p xãm cïng lµng, ai còng kÝnh d©ng? Lµ c©y g×?	C©y nhang	C©y chæi	C©y t¨m	Rau mång t¬i
279	A	Mét vòng n­íc vµng, con r¾n bß ngang, c¸i ®Çu ®á chãt? Lµ c¸i g×?	C©y ®Ìn dÇu	Lß than	Que diªm	C©y nÕn
280	A	Anh ngåi ®©u, em còng ngåi chÇu, Anh yªu em, anh mím quÕt trÇu cho em. Lµ c¸i g×?	C¸i cèi - C¸i chÇy	C¸i cèi - §«i ®òa	B¸t ¨n c¬m - C¸i muçng	§«i ®òa - B¸t ¨n c¬m
281	A	Ba chôc cïng ë mét lång, Mét chôc cã mång, hai chôc th× kh«ng. Lµ c¸i g×?	Mét th¸ng 30 ngµy	Mét th¸ng 31 ngµy	Mét n¨m	Mét th¸ng 28 ngµy
282	A	Hoa g× hÑn ®Õn ngµy sau, Hoa g× l¹i mäc trªn ®Çu hïng kª? Lµ cÆp hoa nµo?	Hoa Mai - Hoa Mµo gµ	Hoa §µo - Hoa Cóc	Hoa Mai - Hoa Cóc	Hoa Sóng - Hoa Sen
283	A	Hoa g× nghe tiÕng mµ ghª, Hoa g× s¾c tr¾ng cËn kÒ ¬n trªn. Lµ cÆp hoa nµo?	Hoa Sóng - Hoa HuÖ	Hoa Sóng - Hoa Sen	Hoa Mai - Hoa Cóc	Hoa Sóng - Hoa Lµi
284	A	Hoa g× th¬m ng¸t vÒ ®ªm, Hoa g× sèng c¹nh bïn phÌn kh«ng d¬? Lµ cÆp hoa nµo?	Hoa Quúnh - Hoa Sen	Hoa Quúnh - Hoa §µo	Hoa Sen - Hoa Lµi	Hoa Quúnh - Hoa Cóc
285	A	Hoa g× nhiÒu tuæi ®Ó thê, Hoa g× b¸o hiÖu ®Õn giê thu sang? Lµ cÆp hoa nµo?	Hoa V¹n thä - Hoa Cóc	Hoa Cóc - Hoa Lµi	Hoa V¹n Thä - Hoa Mai	Hoa mai - Hoa Mµo gµ
286	A	Hoa g× sím në tèi tµn, Hoa g× ®­îc s¸nh vµo hµng t«n v­¬ng? Lµ cÆp hoa nµo?	Hoa Phï Dung - Hoa MÉu §¬n	Hoa MÉu §¬n - Hoa Lµi	Hoa Phï Dung - Hoa Cóc	Hoa Lµi - Hoa Cóc 
287	A	Hoa g× e thÑn bªn ®­êng, Hoa g× hÌ ®Õn th× th­êng tèt t­¬i? Lµ cÆp hoa nµo?	Hoa M¾c Cì - Hoa Ph­îng	Hoa Ph­îng - Hoa Cóc	Hoa M¾c Cì - Hoa Sóng	Hoa M¾c Cì - Hoa M­êi Giê
288	A	Hoa g× theo ¸nh mÆt trêi, Hoa g× xinh ®Ñp ®ång thêi l¾m gai? Lµ cÆp hoa nµo?	Hoa H­íng D­¬ng - Hoa Hång	Hoa H­íng D­¬ng - Hoa Lµi	Hoa Hång - Hoa Sen	Hoa Hång - Hoa H­íng D­¬ng
289	A	Hoa g× mu«n dÆm ®­êng dµi, Hoa g× th¬m ng¸t s¸nh tµi m«i em? Lµ cÆp hoa g×?	Hoa Thiªn Lý - Hoa Hµm TiÕu	Hoa Hµm TiÕu - Hoa Hång	Hoa Thiªn Lý - Hoa Hång	Hoa Thiªn Lý - Hoa Quúnh
290	A	Kh«ng s¬n mµ ®á, Kh«ng gâ mµ kªu? Lµ c¸i g× trong tù nhiªn?	MÆt trêi - TiÕng SÊm	MÆt tr¨ng - MÆt trêi	TiÕng SÊm - MÆt tr¨ng	MÆt trêi - MÆt tr¨ng
291	A	Kh«ng c¸nh mµ bay míi l¹ ®êi, Khi th× v­ît bÓ, lóc qua kh¬i? Lµ hiÖn t­îng nµo trong tù nhiªn?	Giã	M­a	Lò	B·o
292	A	B¸n KÝnh Tr¸i §Êt b»ng bao nhiªu?	6400 Km	4200 Km	5300 Km	7500 Km
293	A	N¬i nµo ë ViÖt Nam nói löa tõng ho¹t ®éng?	Gia Lai	HuÕ	Hµ Néi	TPHCM
294	A	C¸i nµo ng¨n c¶n sù tho¸t h¬i n­íc cña l¸ c©y?	ChÊt Cutin	DiÖp lôc	G©n la	Lç khÝ
295	A	Trô së cña Liªn HiÖp Quèc ®Æt t¹i ®©u?	Mü	Anh	Ph¸p	NhËt B¶n
296	A	ViÖt Nam & Mü chÝnh thøc lËp l¹i quan hÖ b×nh th­êng vµo n¨m nµo?	1995	1993	1994	1996
297	A	Nh©n vËt næi tiÕng nµo ch­a tõng ®Õn ViÖt Nam?	Mohamet Ali	Jang Jong Gun	TriÖu Vy	Thµnh Long
298	A	0 giê lµ mÊy giê?	12 giê tèi	1 giê s¸ng	1 giê tèi	12 giê s¸ng
299	A	N¨m NhuÇn cã bao nhiªu ngµy?	366	365	364	367
300	A	N­íc chiÕm bao nhiªu diÖn tÝch Tr¸i ®Êt?	3 phÇn 4	2 phÇn 3	1 phÇn 2	2 phÇn 5
301	A	Loµi ®éng vËt nµo lín nhÊt trªn tr¸i ®Êt?	C¸ Voi	B¹ch tuéc khæng lå	C¸ Heo	Voi
302	A	KhÝ cÇu bay ®­îc nhê g×?	KhÝ nãng	Giã	§iÖn	H¬i n­íc
303	A	D¬i x¸c ®Þnh ph­¬ng h­íng nhê c¬ quan c¶m gi¸c nµo?	ThÝnh Gi¸c	ThÞ Gi¸c	Khøu Gi¸c	VÞ Gi¸c
304	A	Dùa vµo sè khoanh trong th©n c©y cã thÓ x¸c ®Þnh ®­îc ®iÒu gi?	Tuæi	§é cao	Loµi C©y	§é cøng
305	A	H·y ®iÒn vµo c©u: "T©y nguyªn ... mïa m­a n¾ng"?	Mét	Hai	Ba	Bèn
306	A	Chuån chuån bay thÊp b¸o hiÖu ®iÒu g×?	Trêi s¾p m­a	Trêi n¾ng	Trêi r©m	Trêi ©m u
307	A	ThiÕt bÞ dïng ®Ó ®o ®iÖn trong m¹ng ®iÖn Gia ®×nh?	C«ng t¬ §iÖn	Acquy	æn Ap	CÇu dao
308	A	¢m tiÕt ®­îc ph¸t ra nhê bé phËn g× trong c¬ thÓ con ng­¬i?	Thanh Qu¶n	Thùc Qu¶n	Häng	KhÝ Qu¶n
309	A	HiÖn t­îng bÝ Èn vÒ "ng­êi ngoµi Hµnh tinh" viÕt t¾t lµ g×?	UFO	FDI	FBI	NASA
310	A	Ai ®­îc phong lµm "L­ìng Quèc Tr¹ng Nguyªn"?	M¹c §Ünh Chi	L­¬ng V¨n Cam	TrÇn Quèc TuÊn	Tr¹ng TÝ
311	A	Kathy Kathy lµ ca khóc do Ca sü nµo thÓ hiÖn ®Çu tiªn?	Lam Tr­êng	Quang Linh	Hång Nhung	Mü LÖ
312	A	VCK WorldCup ®­îc tæ chøc mÊy n¨m mét lÇn	4 n¨m	1 n¨m	2 n¨m	3 n¨m
313	A	ChØ sè th«ng minh ®­îc dùa trªn d¬n vÞ khoa häc nµo?	ChØ sè IQ	ThÓ tÝch §¹i n·o	Khèi l­îng §¹i n·o	ChØ sè BMI
314	A	¶o ThuËt gia næi tiÕng nhÊt n­íc Mü?	David Cooperfil	Robert Killer	OliverCan	William Hospert
315	A	Tªn cña Gi¸m §èc Trung T©m An ninh m¹ng ViÖt Nam?	NguyÔn Tö Qu¶ng	Bill Gates	NguyÔn Minh HiÓn	§ç Thµnh Qu©n
316	A	Ngµy thµnh lËp Qu©n ®éi Nh©n d©n ViÖt Nam?	22-12	27-7	8-3	26-3
317	A	Ngµy thµnh lËp §¶ng Céng S¶n ViÖt Nam?	3-2	2-9	2-3	9-3
318	A	ë B¾c cùc cã kho¶ng bao nhiªu loµi chim C¸nh côt?	Mét loµi	Hai loµi	Ba loµi	Bèn loµi
319	A	Loµi ®éng vËt nµo th«ng minh nhÊt trªn Tr¸i ®Êt?	C¶ 3 ý ®Òu sai	KhØ	V­în	Tinh Tinh
320	A	Ai lµ ng­êi ph¸t minh ra §iÖn tho¹i ®Çu tiªn?	William Bells	NewTon	Thomas Edison	§acuyn
321	A	ViÕt t¾t cña tæ chøc c¸c n­íc xuÊt khÈu dÇu má lín nhÊt ThÕ giíi?	OPEC	NASA	NATO	ASIEM
322	A	§ång TiÒn nµo cã tØ gi¸ hèi ®o¸i lín nhÊt so víi VN§?	B¶ng	Euro	USD	Nh©n d©n tÖ
323	A	1 trong nh÷ng C¨n bÖnh ch­a cã thuèc §Æc trÞ hiÖn nay?	AIDS	Sèt rÐt	Phong	Sëi
324	A	T¸c gi¶ cña bé truyÖn tranh næi tiÕng Th¸m tö lõng danh CONAN?	Gosho Aoyama	Fujico Fujio	Takahashi Monona	Kajuki Takahashi
325	A	Dictionary trong TiÕng Anh nghÜa lµ g×?	Tõ §iÓn	TËp giÊy tr¾ng	QuyÓn NhËt ký	Gia Ph¶
